t_unix_tstamp,t_synth_browser_category,t_synth_page_url,true_match,t_synth_location,r_intent_time
1556936804,4,https://www.ad.nl/ad-werkt/als-je-rust-en-balans-zoekt-moet-je-minder-streng-zijn-voor-jezelf~aaad762a/,TRUE,Nederland,0
1557387763,2,https://www.ad.nl/ad-werkt/als-ontslag-voorspelbaar-wordt~ae73238d/,TRUE,Veenendaal,0
1557482535,2,https://www.ad.nl/ad-werkt/altijd-al-een-vliegtuig-willen-bespuiten-dan-is-dit-de-baan-voor-jou~a4431671/,FALSE,"Zeist, Utrecht",508
1556739854,4,https://www.ad.nl/ad-werkt/baanzekerheid-maar-wel-minder-kans-op-promotie-bij-familiebedrijf~aef657f8/,TRUE,The Hague,75
1556898223,2,https://www.ad.nl/ad-werkt/baanzekerheid-maar-wel-minder-kans-op-promotie-bij-familiebedrijf~aef657f8/,FALSE,,1005
1556897797,1,https://www.ad.nl/ad-werkt/baanzekerheid-maar-wel-minder-kans-op-promotie-bij-familiebedrijf~aef657f8/,FALSE,,579
1557383777,1,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,TRUE,Nederland,135
1557310055,2,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,FALSE,Nederland,821
1557855302,2,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,FALSE,,517
1557855809,4,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,FALSE,Maassluis,1024
1556993001,1,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,FALSE,Nederland,1068
1557384439,5,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,FALSE,"Leiden, Netherlands",1157
1557302975,4,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,TRUE,Nederland,0
1557343227,1,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,TRUE,Nederland,0
1557270928,1,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,TRUE,Lopik,0
1557858233,4,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,TRUE,Nederland,35
1557858278,4,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,TRUE,Nederland,80
1557754363,4,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,TRUE,Nederland,25
1557754510,4,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,Amersfoort,172
1557272072,5,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,Rotterdam -  IJsselmonde,1144
1557505556,5,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,"Liskwartier, Rotterdam",525
1557505896,4,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,Netherlands,865
1557344399,4,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,"51,89570892,5,19413258",1172
1556782062,2,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,"51.933629,4.420031",1041
1557858733,4,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,,535
1557858462,5,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,Rotterdam -  IJsselmonde,264
1557418440,1,https://www.ad.nl/ad-werkt/geef-geen-geld-uit-aan-uitjes-laat-werknemers-gamen~a744e105/,TRUE,Utrecht,65
