t_unix_tstamp,t_synth_browser_category,t_synth_page_url,true_match,t_synth_location,r_intent_time,,
1556727973,3,https://www.ad.nl/actie/nooit-gehoord-van-doris-day~a4c96249/,TRUE,Nederland,240,,
1556728335,2,https://www.ad.nl/actie/nooit-gehoord-van-doris-day~a4c96249/,FALSE,Rotterdam,602,,
1556728492,2,https://www.ad.nl/actie/nooit-gehoord-van-doris-day~a4c96249/,FALSE,Nederland,759,,
1557219706,4,https://www.ad.nl/actie/nooit-gehoord-van-doris-day~a4c96249/,TRUE,Nederland,640,,
1557567725,2,https://www.ad.nl/ad-werkt/als-je-rust-en-balans-zoekt-moet-je-minder-streng-zijn-voor-jezelf~aaad762a/,FALSE,Rotterdam,477,,
1557567883,4,https://www.ad.nl/ad-werkt/als-je-rust-en-balans-zoekt-moet-je-minder-streng-zijn-voor-jezelf~aaad762a/,FALSE,Den Helder (Zeestad),635,,
1557567970,5,https://www.ad.nl/ad-werkt/als-je-rust-en-balans-zoekt-moet-je-minder-streng-zijn-voor-jezelf~aaad762a/,FALSE,Nederland,722,,
1557290290,4,https://www.ad.nl/ad-werkt/altijd-al-een-vliegtuig-willen-bespuiten-dan-is-dit-de-baan-voor-jou~a4431671/,FALSE,,1031,,
1557810806,2,https://www.ad.nl/ad-werkt/deze-mensen-leggen-op-4-mei-om-20-uur-al-hun-werk-neer~af925b98/,TRUE,Nederland,25,,
1557811206,2,https://www.ad.nl/ad-werkt/deze-mensen-leggen-op-4-mei-om-20-uur-al-hun-werk-neer~af925b98/,TRUE,Nederland,425,,
1556814638,1,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,TRUE,Nederland,70,,
1556815497,5,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,FALSE,"Utrecht, Nederland",929,,
1556976249,5,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,FALSE,Rotterdam,77,,
1557085058,5,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,FALSE,,82,,
1557430678,4,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,FALSE,Nederland,262,,
1557512991,5,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,FALSE,,569,,
1557687775,1,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,FALSE,Amsterdam,38,,
1557688517,5,https://www.ad.nl/ad-werkt/dit-stel-gaf-hun-topbanen-op-om-iets-te-doen-aan-plastic-afvalberg~abfe9a85/,FALSE,,780,,
1557007601,5,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,"Lelystad, Nederland",637,,
1557260732,2,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,"Utrecht, Nederland",1134,,
1557378864,5,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,Rotterdam,953,,
1557378879,1,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,Nederland,968,,
1557660181,2,https://www.ad.nl/ad-werkt/droombaan-voor-grillmasters-betaald-barbecueen~a3564de8/,FALSE,Home is where my ❤ is..😍,106,,
1556825879,1,https://www.ad.nl/ad-werkt/geen-diploma-maar-wel-werkervaring-dan-biedt-een-vakverklaring-uitkomst~a685ac06/,TRUE,Nederland,130,,
1556826976,1,https://www.ad.nl/ad-werkt/geen-diploma-maar-wel-werkervaring-dan-biedt-een-vakverklaring-uitkomst~a685ac06/,FALSE,Den Haag,1227,,
1557315613,1,https://www.ad.nl/ad-werkt/geen-diploma-maar-wel-werkervaring-dan-biedt-een-vakverklaring-uitkomst~a685ac06/,TRUE,Nederland,5,,
